[2026-03-28 14:28:28] [BOINK] [info] [boink_c_api.cc:247] Initializing engine
[2026-03-28 14:28:28] [BOINK] [info] [boink_c_api.cc:251] C API version: (1.0.0)
[2026-03-28 14:28:28] [BOINK] [info] [boink_c_api.cc:255] Engine version: (1.0.0)
[2026-03-28 14:28:28] [BOINK] [info] [boink_c_api.cc:347] Created vehicle mesh with model file: \\?\C:\Desktop\hackathon\KonkursF1\backend\assets\bolids\F1_CAR_06.glb
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:71] Line length: 3239.7217
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(45) vec: [181.547, -0.499, -10.577] dist: 249.5739
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(46) vec: [187.098, -0.499, -10.577] dist: 255.12465
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(47) vec: [192.649, -0.499, -10.577] dist: 260.6756
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(48) vec: [198.200, -0.499, -10.576] dist: 266.22678
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(49) vec: [203.751, -0.499, -10.576] dist: 271.77808
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(50) vec: [209.303, -0.499, -10.574] dist: 277.32986
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(51) vec: [214.855, -0.499, -10.573] dist: 282.88187
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(52) vec: [220.408, -0.499, -10.570] dist: 288.43463
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(53) vec: [225.961, -0.499, -10.565] dist: 293.98795
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(54) vec: [231.515, -0.499, -10.559] dist: 299.54193
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(55) vec: [237.071, -0.499, -10.549] dist: 305.09744
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(56) vec: [242.627, -0.499, -10.538] dist: 310.6539
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(57) vec: [248.185, -0.499, -10.521] dist: 316.21204
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(58) vec: [253.746, -0.499, -10.499] dist: 321.77264
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(59) vec: [259.308, -0.499, -10.470] dist: 327.33533
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(60) vec: [264.874, -0.499, -10.434] dist: 332.90097
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(61) vec: [270.445, -0.499, -10.384] dist: 338.47177
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(62) vec: [276.020, -0.499, -10.321] dist: 344.04733
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(63) vec: [281.601, -0.499, -10.241] dist: 349.62885
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(64) vec: [287.189, -0.499, -10.139] dist: 355.21786
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(65) vec: [292.786, -0.499, -10.010] dist: 360.817
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(66) vec: [298.397, -0.499, -9.844] dist: 366.42972
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(67) vec: [304.022, -0.499, -9.631] dist: 372.05942
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(68) vec: [309.667, -0.499, -9.361] dist: 377.7105
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(69) vec: [315.335, -0.499, -9.016] dist: 383.38922
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(70) vec: [321.036, -0.499, -8.567] dist: 389.10773
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(71) vec: [326.776, -0.499, -7.987] dist: 394.8772
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(72) vec: [332.565, -0.499, -7.237] dist: 400.71466
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(73) vec: [338.414, -0.499, -6.263] dist: 406.64435
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(74) vec: [344.352, -0.499, -4.939] dist: 412.7273
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(75) vec: [350.404, -0.499, -3.127] dist: 419.0452
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(76) vec: [356.642, -0.499, -0.443] dist: 425.83563
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(77) vec: [362.977, -0.499, 3.832] dist: 433.4789
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(78) vec: [368.375, -0.499, 10.802] dist: 442.29468
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(79) vec: [370.594, -0.499, 19.516] dist: 451.28613
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(80) vec: [369.802, -0.499, 27.386] dist: 459.19565
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(81) vec: [367.662, -0.499, 34.048] dist: 466.19305
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(82) vec: [364.876, -0.499, 39.836] dist: 472.61697
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(83) vec: [361.758, -0.499, 45.091] dist: 478.72775
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(84) vec: [358.453, -0.499, 50.037] dist: 484.67618
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(85) vec: [355.035, -0.499, 54.797] dist: 490.53622
[2026-03-28 14:28:29] [BOINK] [trace] [line.cc:76] i=(86) vec: [351.516, -0.499, 59.387] dist: 496.32
